iteration,total_infected,total_immune,total_dead,current_population,current_infected,infection_rate,mortality_rate,recover_rate
0,1684,0,230,79770,1454,0.018227404,0.13657957,0.0
1,1900,0,369,79631,1531,0.01922618,0.19421053,0.0
2,2082,0,445,79555,1637,0.02057696,0.21373679,0.0
3,2307,0,513,79487,1794,0.022569729,0.2223667,0.0
4,2515,0,577,79423,1938,0.024400992,0.22942346,0.0
5,2760,0,644,79356,2116,0.02666465,0.23333333,0.0
6,3047,0,723,79277,2324,0.029314933,0.23728257,0.0
7,3324,0,792,79208,2532,0.031966466,0.23826715,0.0
8,3632,0,874,79126,2758,0.034855798,0.24063876,0.0
9,3971,0,950,79050,3021,0.03821632,0.23923445,0.0
10,4297,0,1046,78954,3251,0.041175876,0.24342565,0.0
11,4682,0,1143,78857,3539,0.044878706,0.24412644,0.0
12,5080,0,1249,78751,3831,0.048647,0.24586613,0.0
13,5527,1229,1352,78648,2946,0.03745804,0.24461733,0.22236295
14,5863,1392,1447,78553,3024,0.0384963,0.24680197,0.23742111
15,6188,1533,1527,78473,3128,0.039860845,0.24676794,0.24773756
16,6485,1704,1612,78388,3169,0.040427107,0.24857363,0.26276022
17,6869,1857,1694,78306,3318,0.04237223,0.24661523,0.27034503
18,7265,2029,1779,78221,3457,0.044195294,0.24487267,0.27928424
19,7651,2236,1877,78123,3538,0.04528756,0.24532741,0.29224938
20,8042,2449,1965,78035,3628,0.04649196,0.24434221,0.30452624
21,8444,2667,2065,77935,3712,0.047629435,0.24455234,0.31584558
22,8826,2915,2172,77828,3739,0.048041835,0.2460911,0.3302742
23,9232,3144,2265,77735,3823,0.049179908,0.24534228,0.3405546
24,9661,3425,2363,77637,3873,0.049886007,0.24459165,0.35451818
25,10058,3723,2473,77527,3862,0.049814902,0.24587393,0.3701531
26,10462,4062,2568,77432,3832,0.04948858,0.24545977,0.38826227
27,10878,4318,2654,77346,3906,0.05050035,0.24397868,0.39694798
28,11262,4557,2729,77271,3976,0.051455267,0.2423193,0.40463504
29,11661,4778,2843,77157,4040,0.05236077,0.24380413,0.40974188
30,12038,5075,2949,77051,4014,0.052095365,0.24497426,0.42158166
31,12443,5377,3048,76952,4018,0.05221437,0.244957,0.43213052
32,12863,5676,3161,76839,4026,0.05239527,0.2457436,0.44126564
