iteration,total_infected,total_immune,total_dead,current_population,current_infected,infection_rate,mortality_rate,recover_rate
0,70,0,25,475,45,0.094736844,0.35714287,0.0
1,92,0,39,461,53,0.114967465,0.42391303,0.0
2,125,0,51,449,74,0.16481069,0.408,0.0
3,155,0,64,436,91,0.2087156,0.41290322,0.0
4,194,0,86,414,108,0.26086956,0.44329897,0.0
5,227,0,103,397,124,0.31234258,0.4537445,0.0
6,257,0,118,382,139,0.36387435,0.45914397,0.0
7,283,0,130,370,153,0.4135135,0.45936397,0.0
8,307,0,140,360,167,0.46388888,0.45602605,0.0
9,332,0,153,347,179,0.5158501,0.46084338,0.0
10,352,0,163,337,189,0.56083083,0.4630682,0.0
11,372,0,176,324,196,0.60493827,0.47311828,0.0
12,391,0,185,315,206,0.6539683,0.47314578,0.0
13,399,0,189,311,210,0.6752412,0.47368422,0.0
14,409,0,194,306,215,0.70261437,0.47432762,0.0
15,413,0,198,302,215,0.71192056,0.47941887,0.0
16,421,0,205,295,216,0.73220336,0.48693585,0.0
17,427,34,206,294,187,0.6360544,0.48243558,0.07962529
18,432,45,208,292,179,0.6130137,0.4814815,0.104166664
19,432,65,211,289,156,0.53979236,0.48842594,0.15046297
20,436,78,214,286,144,0.5034965,0.49082568,0.17889908
21,440,94,216,284,130,0.45774648,0.4909091,0.21363637
22,441,110,217,283,114,0.40282685,0.4920635,0.2494331
23,441,126,217,283,98,0.34628975,0.4920635,0.2857143
24,443,142,217,283,84,0.29681978,0.489842,0.32054177
25,444,158,218,282,68,0.24113475,0.490991,0.35585585
26,446,166,219,281,61,0.21708184,0.49103138,0.3721973
27,449,177,220,280,52,0.18571429,0.48997772,0.39420936
28,449,183,223,277,43,0.15523465,0.49665925,0.4075724
29,449,194,224,276,31,0.11231884,0.4988864,0.43207127
30,449,200,224,276,25,0.09057971,0.4988864,0.4454343
31,450,207,224,276,19,0.06884058,0.4977778,0.46
32,450,208,224,276,18,0.06521739,0.4977778,0.46222222
33,450,210,224,276,16,0.057971016,0.4977778,0.46666667
34,450,215,224,276,11,0.039855074,0.4977778,0.47777778
35,452,218,224,276,10,0.036231883,0.49557522,0.48230088
36,452,218,224,276,10,0.036231883,0.49557522,0.48230088
37,452,220,224,276,8,0.028985508,0.49557522,0.48672566
38,452,222,224,276,6,0.02173913,0.49557522,0.49115044
39,452,223,224,276,5,0.018115941,0.49557522,0.49336284
40,452,223,224,276,5,0.018115941,0.49557522,0.49336284
41,452,224,224,276,4,0.014492754,0.49557522,0.49557522
42,452,224,224,276,4,0.014492754,0.49557522,0.49557522
43,453,225,224,276,4,0.014492754,0.49448124,0.49668875
44,453,225,224,276,4,0.014492754,0.49448124,0.49668875
45,453,225,224,276,4,0.014492754,0.49448124,0.49668875
46,453,225,224,276,4,0.014492754,0.49448124,0.49668875
47,453,225,224,276,4,0.014492754,0.49448124,0.49668875
48,454,226,224,276,4,0.014492754,0.49339208,0.49779737
49,454,226,225,275,3,0.010909091,0.4955947,0.49779737
50,454,226,225,275,3,0.010909091,0.4955947,0.49779737
51,454,226,225,275,3,0.010909091,0.4955947,0.49779737
52,454,228,225,275,1,0.0036363637,0.4955947,0.50220263
53,454,228,225,275,1,0.0036363637,0.4955947,0.50220263
54,454,228,225,275,1,0.0036363637,0.4955947,0.50220263
55,454,228,225,275,1,0.0036363637,0.4955947,0.50220263
56,454,228,225,275,1,0.0036363637,0.4955947,0.50220263
57,454,228,225,275,1,0.0036363637,0.4955947,0.50220263
58,454,228,225,275,1,0.0036363637,0.4955947,0.50220263
59,454,228,225,275,1,0.0036363637,0.4955947,0.50220263
60,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
61,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
62,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
63,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
64,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
65,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
66,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
67,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
68,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
69,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
70,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
71,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
72,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
73,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
74,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
75,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
76,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
77,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
78,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
79,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
80,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
81,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
82,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
83,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
84,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
85,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
86,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
87,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
88,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
89,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
90,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
91,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
92,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
93,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
94,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
95,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
96,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
97,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
98,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
99,454,229,225,275,0,0.0036363637,0.4955947,0.50440526
